time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-23 00:00:00+00:00,29,12,146,62
2026-08-24 00:00:00+00:00,118,28,105,47
2026-08-25 00:00:00+00:00,37,13,36,12
2026-08-26 00:00:00+00:00,35,14,30,19
2026-08-27 00:00:00+00:00,9,5,23,16
2026-08-28 00:00:00+00:00,3,3,29,11
2026-08-29 00:00:00+00:00,395,17,103,20
2026-08-30 00:00:00+00:00,40,18,37,16
2026-08-31 00:00:00+00:00,20,14,57,13
2026-09-01 00:00:00+00:00,28,8,27,14
2026-09-02 00:00:00+00:00,27,9,74,18
2026-09-03 00:00:00+00:00,55,13,73,22
2026-09-04 00:00:00+00:00,114,23,88,15
2026-09-05 00:00:00+00:00,158,41,54,14
